,mean,stddev
mass_1,1.2797619490422168e+17,1.2797619490422168e+16
mass_2,6.102380509577831e+16,6102380509577832.0
sma_2,33500.0,100.0
ecc_2,0.304,0.008
aop_2,296.3422968163212,0.9
inc_2,167.65383438928976,0.2
lan_2,224.70441876262967,0.2
mea_2,263.1,0.3
j2r2_1,5120.0,512.0
c22r2_1,512.0,51.2
j2r2_2,250.0,25.0
c22r2_2,25.0,2.5
spaop_1,296.3422968163212,0.9
spinc_1,167.65383438928976,0.2
splan_1,224.70441876262967,0.2
sprate_1,0.0002493,2.493e-05
spaop_2,180.0,20.0
spinc_2,122.65383438928976,0.2
splan_2,224.70441876262967,0.2
sprate_2,0.0002493,2.493e-05
lat_offset,0.00010000368773718541,0.005
long_offset,3.68763085164777e-05,0.005
