,geocentricTime,x,y,z
0,2453746.525,-6634910433.92888,-1580962253.8162885,3452095658.1206107
1,2453746.554,-6634837166.724211,-1580944572.8769052,3452096772.509397
2,2454138.287,-6535313136.197929,-1662137375.1740859,3466634972.985554
3,2454138.304,-6535281202.661789,-1662109714.394545,3466635399.627601
4,2454138.351,-6535193196.576514,-1662033335.8578093,3466636640.7689266
5,2454138.368,-6535161455.474875,-1662005756.3104136,3466637117.265922
6,2454138.418,-6535068322.221789,-1661924826.983117,3466638622.257271
7,2454138.435,-6535036716.316768,-1661897382.490248,3466639172.5644045
8,2454138.484,-6534945715.857948,-1661818498.725503,3466640876.10727
9,2454138.501,-6534914160.603568,-1661791208.6135778,3466641508.2961893
10,2454138.551,-6534821325.562433,-1661711165.7046258,3466643486.197735
11,2454138.567,-6534791594.41061,-1661685616.6155145,3466644154.1398377
12,2454469.653,-6573137187.753231,-1806109849.5723112,3478011803.661245
13,2454593.726,-6488616407.641538,-1589961977.8170094,3482053022.7566414
14,2454600.192,-6500335446.337888,-1581159609.6133451,3482256027.5234623
15,2454601.99,-6503788476.697286,-1578971213.085295,3482314838.127884
16,2454603.788,-6507327316.666149,-1576898700.4702842,3482374285.914064
17,2454605.788,-6511350842.553587,-1574725076.0491908,3482438181.742683
18,2455375.655,-6511464780.781925,-1783035208.0903616,3504779122.1948376
19,2455375.661,-6511478944.786475,-1783038531.8313549,3504779246.785969
20,2455375.673,-6511507281.998863,-1783045167.8385394,3504779489.0188756
21,2455375.719,-6511616049.084054,-1783070481.1373541,3504780339.1462784
22,2455375.727,-6511634992.142918,-1783074866.5494707,3504780475.7284822
23,2455375.737,-6511658683.747055,-1783080342.7820547,3504780642.4181614
24,2455375.786,-6511774997.96645,-1783107116.555954,3504781406.980589
25,2455375.793,-6511791647.014664,-1783110937.4217565,3504781510.923016
26,2455375.859,-6511949053.041546,-1783147015.1492074,3504782469.905513
27,2455375.928,-6512114428.559287,-1783185066.6583219,3504783532.5922623
28,2455375.993,-6512270853.8847,-1783221506.1542213,3504784711.8685045
29,2455376.058,-6512427666.47746,-1783258725.6908,3504786152.1628537
30,2457155.338,-6150203770.350914,-2338729704.1816306,3538615909.340932
31,2457203.995,-6258277736.238807,-2320703699.950119,3539185376.7443123
