,mean,stddev
mass_1,1.4301747297157942e+17,1.4301747297157944e+16
mass_2,4.6982527028420584e+16,4698252702842059.0
sma_2,3400.0,70.0
ecc_2,0.3,0.03
aop_2,78.78296492883767,2.0
inc_2,24.4131977245998,1.0
lan_2,73.23160519828589,2.0
mea_2,329.0,2.0
j2r2_1,12500.0,1250.0
c22r2_1,1250.0,125.0
j2r2_2,345.0,34.5
c22r2_2,34.5,3.45
spaop_1,78.78296492883767,2.0
spinc_1,69.4131977245998,1.0
splan_1,73.23160519828589,2.0
sprate_1,0.0002493,2.493e-05
spaop_2,180.0,20.0
spinc_2,24.4131977245998,1.0
splan_2,73.23160519828589,2.0
sprate_2,5.680041725879712e-07,5.680041725879712e-08
lat_offset,0.00010459997643092021,0.005
long_offset,0.00013329192793627706,0.005
