,kboTIME,x,y,z
0,2453938.1656478704,5829268163.40513,-1268606774.6771176,2470247188.1717052
1,2454295.128735366,5882068735.181095,-1130610930.2888224,2494947420.487204
2,2454297.079399663,5877668854.185347,-1131758649.4502878,2495078764.225842
3,2454323.715348878,5825910890.100401,-1161383927.5688353,2496875050.76897
4,2454324.5298535563,5824639096.27006,-1162658482.730781,2496930965.296413
5,2454324.6602391815,5824434041.287602,-1162861601.979311,2496938760.7601037
6,2454346.6567652775,5799038360.916856,-1203318400.6723492,2498419667.2370467
7,2454606.0179156754,6041798687.644761,-1029773711.2360958,2515546318.479727
8,2455176.5167508023,5981134217.366854,-1095528387.4527907,2551151152.47573
9,2455411.654613252,5925906016.252293,-749494588.8001841,2564985071.870232
10,2456491.7729094536,6018481222.35275,-328939916.3115164,2622289950.129416
11,2456528.760582136,5953743200.37518,-379463604.9564215,2624071926.291653
12,2457234.739903517,6018792552.078919,-71179594.81052649,2655703595.585636
13,2457606.714082349,6015525575.055023,55002059.88496066,2670583332.507601
