,Unnamed: 0,kboTIME,x,y,z
0,0,2453687.10288095,-5773113678.679086,3626464961.6039405,-2164719497.8876843
1,1,2453687.352904239,-5772652756.179454,3625997679.0579295,-2164738227.1309524
2,2,2453687.602927597,-5772194311.211591,3625524917.3252954,-2164753630.722932
3,3,2453687.8529513218,-5771725731.411073,3625050478.542232,-2164767362.052176
4,4,2453688.102974999,-5771251219.588751,3624585934.242244,-2164784432.946911
5,5,2453688.3529983317,-5770783370.211979,3624127397.0610414,-2164803147.0909815
6,6,2453688.6030217367,-5770317890.35874,3623663343.1777687,-2164818507.4245296
7,7,2453688.8530455083,-5769842240.66722,3623197773.337914,-2164832253.416662
8,8,2453689.1030692225,-5769360840.066795,3622742191.210936,-2164849367.331707
9,9,2453689.3530925917,-5768886208.048471,3622292511.365708,-2164868067.009468
10,10,2453689.6031160383,-5768413836.126174,3621837279.5323725,-2164883385.6725
11,11,2453689.8531398475,-5767931261.70479,3621380693.930801,-2164897148.3508887
12,12,2453690.103163593,-5767443118.58199,3620934187.0063047,-2164914306.264737
13,13,2453690.3531869925,-5766961847.627677,3620493476.507706,-2164932991.9316697
14,14,2453690.603210474,-5766482726.18752,3620047181.1372595,-2164948270.3228846
15,15,2453690.8532343144,-5765993372.1844225,3619599695.3728,-2164962051.4866805
16,16,2453691.103258084,-5765498632.977678,3619162377.0725827,-2164979254.1302853
17,17,2453691.353281507,-5765010867.198966,3618730748.4466896,-2164997925.9981623
18,18,2453691.6033050157,-5764525139.486732,3618293504.54553,-2165013165.268509
19,19,2453691.853328882,-5764029152.008463,3617855234.8070006,-2165026966.442048
20,20,2453692.1033526687,-5763527964.311716,3617427219.138727,-2165044214.256731
21,21,2453692.3533761087,-5763033849.191408,3617004785.5298343,-2165062872.2600465
22,22,2453692.6033996395,-5762541660.094821,3616576708.712549,-2165078073.287184
23,23,2453692.8534235237,-5762039187.125992,3616147771.710896,-2165091895.702207
24,24,2453693.10344732,-5761531700.573244,3615729173.124482,-2165109188.8295736
25,25,2453693.35347077,-5761031383.808939,3615316048.0819407,-2165127832.6227164
26,26,2453693.603494316,-5760532880.654227,3614897254.294882,-2165142996.014626
27,27,2453693.853518211,-5760024072.801353,3614477766.931528,-2165156840.619729
28,28,2453694.1035420108,-5759510439.754685,3614068699.9413815,-2165174178.916579
29,29,2453694.3535654647,-5759004071.889893,3613664997.003511,-2165192807.8934975
30,30,2453694.6035890183,-5758499405.014578,3613255602.077081,-2165207934.0119553
31,31,2453694.853612917,-5757984416.019249,3612845680.9727306,-2165221801.4992795
32,32,2453695.1036367137,-5757464792.023728,3612446259.67158,-2165239184.567121
33,33,2453695.353660164,-5756952526.847415,3612052091.870767,-2165257797.8928204
34,34,2453695.603683717,-5756441849.946274,3611652211.0211062,-2165272886.886014
35,35,2453695.853707614,-5755920836.979637,3611251972.020269,-2165286777.724684
36,36,2453696.1037314,-5755395381.01059,3610862309.5924897,-2165304204.9437017
37,37,2453696.35375484,-5754877375.762167,3610477788.981197,-2165322801.588011
38,38,2453696.603778386,-5754360846.053735,3610087536.3515205,-2165337853.423439
39,39,2453696.8538022726,-5753833969.84807,3609697094.0826173,-2165351767.8914995
40,40,2453697.103826041,-5753302844.412823,3609317302.386426,-2165369238.45153
41,41,2453697.3538494627,-5752779259.859855,3608942539.6426907,-2165387817.2185826
42,42,2453697.6038729963,-5752257038.144279,3608562027.9321904,-2165402831.7105594
43,43,2453697.853896865,-5751724463.034474,3608181495.4607677,-2165416769.920641
44,44,2453698.1039206083,-5751187834.202509,3607811684.7067204,-2165434282.8452353
45,45,2453698.353944005,-5750658834.664846,3607446788.8369813,-2165452842.395655
46,46,2453698.6039675176,-5750131085.345608,3607076129.025978,-2165467819.225213
47,47,2453698.8539913613,-5749592979.291376,3606705617.601216,-2165481781.1425085
48,48,2453699.1040150723,-5749051016.721109,3606345896.1191983,-2165499335.305474
49,49,2453699.354038437,-5748516770.106705,3605990974.2431545,-2165517874.171256
50,50,2453699.604061921,-5747983661.237975,3605630275.392332,-2165532812.8991947
51,51,2453699.8540857327,-5747440195.884467,3605269894.2582436,-2165546798.3531666
52,52,2453700.104109404,-5746893072.900186,3604920368.3184156,-2165564392.4895415
53,53,2453700.354132729,-5746353750.801367,3604575525.495751,-2165582909.0842643
54,54,2453700.604156177,-5745815454.204795,3604224894.5740438,-2165597809.1604767
55,55,2453700.854179949,-5745266805.020236,3603874750.795043,-2165611817.853972
56,56,2453701.1042035725,-5744714698.772043,3603535524.427765,-2165629450.5696807
57,57,2453701.354226851,-5744170476.649186,3603200863.4674783,-2165647943.1987395
58,58,2453701.6042502564,-5743627168.120535,3602860405.145333,-2165662803.9729986
59,59,2453701.8542739805,-5743073514.624194,3602520603.3792243,-2165676835.494369
60,60,2453702.104297549,-5742516606.336681,3602191778.1237655,-2165694505.280598
61,61,2453702.3543207725,-5741967663.786659,3601867399.303235,-2165712972.157918
62,62,2453702.6043441272,-5741419523.380863,3601537215.636251,-2165727792.898945
63,63,2453702.8543677963,-5740861049.440402,3601207857.778138,-2165741846.744297
64,64,2453703.104391302,-5740299524.718792,3600889532.2831883,-2165759552.003877
65,65,2453703.354414464,-5739746045.786048,3600575532.900448,-2165777991.282582
66,66,2453703.60443776,-5739193258.126939,3600255722.8286905,-2165792771.2129087
67,67,2453703.854461366,-5738630152.2593355,3599936907.4545226,-2165806846.8258805
68,68,2453704.1044848007,-5738064201.37496,3599629176.864117,-2165824585.9189124
69,69,2453704.3545078924,-5737506374.814552,3599325650.5638437,-2165842995.7427697
70,70,2453704.6045311224,-5736949129.326257,3599016309.176261,-2165857734.09565
