,mean,stddev
mass_1,2.14e+18,2e+16
mass_2,0.0,0.0
sma_2,69700.0,200.0
ecc_2,0.21600000000000005,0.001
aop_2,208.79197824437247,1.0
inc_2,13.271201207528788,0.2
lan_2,257.8979935133594,0.2
mea_2,185.3,0.3
j2r2_1,28880.0,2888.0
c22r2_1,2888.0,288.8
j2r2_2,390.0,39.0
c22r2_2,39.0,3.9000000000000004
spaop_1,208.79197824437247,1.0
spinc_1,13.271201207528788,0.2
splan_1,257.8979935133594,0.2
sprate_1,0.0002493,2.493e-05
spaop_2,180.0,20.0
spinc_2,58.27120120752879,0.2
splan_2,257.8979935133594,0.2
sprate_2,0.0002493,2.493e-05
