,kboTIME,x,y,z
0,2453687.3790382994,-5772604972.719918,3625948624.801964,-2164740038.4796653
1,2454040.091972087,-5858030796.929808,3552858687.8790927,-2187304467.805443
2,2454042.2893683403,-5854737900.830515,3547910364.5071645,-2187444673.4340787
3,2454044.0885910466,-5851920195.0964155,3543954001.3236704,-2187555530.2258124
4,2454051.302406316,-5839572262.907102,3529127073.734229,-2188011495.9919386
5,2454055.8124201307,-5831065992.271326,3520736223.1907973,-2188292530.443729
6,2454065.871021932,-5810205220.054506,3504783760.909677,-2188923979.665361
7,2454080.062010215,-5777562436.870044,3489383429.828172,-2189815191.761895
8,2454416.015962392,-5902871108.095428,3429633894.622183,-2210544086.328316
9,2454439.505400215,-5853462844.548965,3394035576.068153,-2211970569.7141895
10,2455250.4656750266,-5806609820.01365,3243435761.462801,-2259096957.0221043
11,2457117.606778527,-6058392564.797973,2801227083.9360557,-2352223063.1064286
