,mean,stddev
mass_1,1.23e+20,3e+18
mass_2,0.0,0.0
sma_2,4750.0,40.0
ecc_2,0.18,0.02
aop_2,17.026599561584998,1.0
inc_2,84.46083811521568,0.3
lan_2,203.21467383975275,0.3
mea_2,289.0,0.3
j2r2_1,552781.25,55278.125
c22r2_1,55278.125,5527.8125
j2r2_2,1050.0,105.0
c22r2_2,105.0,10.5
spaop_1,17.026599561584998,1.0
spinc_1,129.46083811521567,0.3
splan_1,203.21467383975275,0.3
sprate_1,8.75195835456804e-06,8.75195835456804e-07
spaop_2,180.0,20.0
spinc_2,84.46083811521568,0.3
splan_2,203.21467383975275,0.3
sprate_2,0.0002493,2.493e-05
