,mean,stddev
mass_1,3.8901069176777126e+17,3.890106917677713e+16
mass_2,1.9098930823222874e+17,1.9098930823222876e+16
sma_2,25500.0,100.0
ecc_2,0.275,0.002
aop_2,13.408102790574251,0.9
inc_2,55.02407991330482,0.6
lan_2,42.51898055019364,0.5
mea_2,182.2,0.5
j2r2_1,450.0,45.0
c22r2_1,45.0,4.5
j2r2_2,355.0,35.5
c22r2_2,35.5,3.5500000000000003
spaop_1,13.408102790574251,0.9
spinc_1,100.02407991330482,0.6
splan_1,42.51898055019364,0.5
sprate_1,0.0002493,2.493e-05
spaop_2,180.0,20.0
spinc_2,55.02407991330482,0.6
splan_2,42.51898055019364,0.5
sprate_2,4.8316651349164305e-08,4.831665134916431e-09
