,mean,stddev
mass_1,1.6899359177244652e+18,1.6899359177244653e+17
mass_2,9.700640822755351e+17,9.700640822755352e+16
sma_2,22620.0,40.0
ecc_2,0.8190000000000001,0.002
aop_2,221.742049931585,0.6
inc_2,48.15540848807374,0.4
lan_2,117.76586409276943,0.7
mea_2,42.30000000000001,0.3
j2r2_1,27380.0,2738.0
c22r2_1,2738.0,273.8
j2r2_2,615.0,61.5
c22r2_2,61.5,6.15
spaop_1,221.742049931585,0.6
spinc_1,93.15540848807373,0.4
splan_1,117.76586409276943,0.7
sprate_1,1.2384971701214218e-07,1.2384971701214219e-08
spaop_2,180.0,20.0
spinc_2,48.15540848807374,0.4
splan_2,117.76586409276943,0.7
sprate_2,0.0002493,2.493e-05
