,kboTIME,x,y,z
0,2454947.6420400534,-2240487312.804065,-6221173895.452046,2413870434.3350835
1,2455411.501253654,-2294841172.367682,-6222472161.231023,2429505375.816185
2,2455411.5750779137,-2294956615.8916683,-6222597710.606425,2429506995.9366307
3,2455439.4476497592,-2325415587.141747,-6281480334.771209,2430403481.7067804
4,2455440.767740525,-2326156375.027855,-6284693170.415165,2430445269.3207574
5,2455466.8130965107,-2325528159.5465117,-6351628849.286907,2431279286.410739
6,2455752.019911299,-2117948633.7847786,-6209987316.410592,2440078277.219142
7,2456019.767575169,-1830834231.8491814,-6334316584.065798,2447852491.5371795
8,2456053.698785297,-1859714419.6152115,-6260662256.412108,2448800694.696734
9,2456141.5860767933,-2030571641.1600673,-6257540430.502317,2451225306.6139584
10,2456404.718632979,-1709803561.050682,-6303684875.131212,2458174403.6011505
11,2456486.4867941127,-1861222960.154952,-6245075738.3583355,2460235293.2782793
