,mean,stddev
mass_1,1.647e+22,7e+19
mass_2,0.0,0.0
sma_2,37270.0,50.0
ecc_2,0.0062,0.0009
aop_2,162.3991830956006,10.0
inc_2,61.608095552481984,0.1
lan_2,139.1362675410544,0.2
mea_2,175.8,0.2
j2r2_1,6762845.0,676284.5
c22r2_1,676284.5,67628.45
j2r2_2,2570.0,257.0
c22r2_2,257.0,25.700000000000003
spaop_1,162.3991830956006,10.0
spinc_1,106.60809555248198,0.1
splan_1,139.1362675410544,0.2
sprate_1,0.0002493,2.493e-05
spaop_2,180.0,20.0
spinc_2,61.608095552481984,0.1
splan_2,139.1362675410544,0.2
sprate_2,0.0002493,2.493e-05
