,mean,stddev
mass_1,4.02e+18,4e+16
mass_2,0.0,0.0
sma_2,9960.0,30.0
ecc_2,0.349,0.003
aop_2,192.0131564522285,0.6
inc_2,25.075588628081636,0.2
lan_2,274.372997008667,0.3
mea_2,123.70000000000002,0.2
j2r2_1,75645.0,7564.5
c22r2_1,7564.5,756.45
j2r2_2,1105.0,110.5
c22r2_2,110.5,11.05
spaop_1,192.0131564522285,0.6
spinc_1,70.07558862808163,0.2
splan_1,274.372997008667,0.3
sprate_1,5.210952567866304e-07,5.2109525678663046e-08
spaop_2,180.0,20.0
spinc_2,70.07558862808163,0.2
splan_2,274.372997008667,0.3
sprate_2,0.0002493,2.493e-05
lat_offset,-0.0002923137674671782,0.005
long_offset,0.00022490733081464986,0.005
